_id,isPb,wpm,acc,rawWpm,consistency,charStats,mode,mode2,quoteLength,restartCount,testDuration,afkDuration,incompleteTestSeconds,punctuation,numbers,language,funbox,difficulty,lazyMode,blindMode,bailedOut,tags,timestamp
64506beb8b42543b374f1e91,,51.2,96.97,51.2,67.54,128;0;0;0,time,30,-1,0,30,0,0,false,false,english,none,normal,false,false,false,,1682992107000
644fd34c8b42543b373a5bb1,,57.2,94.74,57.2,69.03,143;0;0;0,time,30,-1,1,30,0,0.23,false,false,english,none,normal,false,false,false,,1682953036000
644fbb048b42543b370e12dd,,61.98,96.95,63.98,71.77,155;0;0;1,time,30,-1,0,30.01,0,0,false,false,english,none,normal,false,false,false,,1682946820000
644fbae48b42543b370e118d,,57.98,92.55,60.38,68.28,145;1;0;1,time,30,-1,0,30.01,0,0,false,false,english,none,normal,false,false,false,,1682946788000
644f1fd18b42543b37faf135,,56.78,94.23,61.18,72.62,142;4;0;0,time,30,-1,2,30.01,0,3.05,false,false,english,none,normal,false,false,false,,1682907089000
644f1fa88b42543b37faf024,,59.98,97.47,61.58,74.09,150;2;0;0,time,30,-1,2,30.01,0,6.14,false,false,english,none,normal,false,false,false,,1682907048000
644f1f008b42543b37faebf6,,62,93.57,66,66.98,155;2;1;1,time,30,-1,1,30,0,0.23,false,false,english,none,normal,false,false,false,,1682906880000
644f1ebd8b42543b37faea3f,,57.2,95.36,57.2,62.5,143;0;0;0,time,30,-1,0,30,0,0,false,false,english,none,normal,false,false,false,,1682906813000
644916bd8b42543b3747feaa,,50.38,88.36,50.38,66.56,126;0;0;0,time,30,-1,0,30.01,0,0,false,false,english,none,normal,false,false,false,,1682511549000
6449169a8b42543b3747fd31,,62.38,94.61,62.38,71.15,156;0;0;0,time,30,-1,2,30.01,0,1.25,false,false,english,none,normal,false,false,false,,1682511514000
641b1135864bf5f3626a7498,,44.77,91.06,44.77,58.09,112;0;0;0,time,30,-1,0,30.02,1,0,false,false,english,none,normal,false,false,false,,1679495477000
641b10e4864bf5f362678471,,62.4,95.12,62.4,69.13,156;0;0;0,time,30,-1,0,30,0,0,false,false,english,none,normal,false,false,false,,1679495396000
64193a83a76a1a979ef2af46,,47.98,90.44,49.18,67.42,120;1;0;0,time,30,-1,0,30.01,0,0,false,false,english,none,normal,false,false,false,,1679374979000
64193a5da76a1a979ef2ae62,,62.78,95.15,62.78,68.25,157;0;0;0,time,30,-1,0,30.01,0,0,false,false,english,none,normal,false,false,false,,1679374941000
64193a13a76a1a979ef2accf,,63.6,96.36,63.6,68.6,159;0;0;0,time,30,-1,0,30,0,0,false,false,english,none,normal,false,false,false,,1679374867000
6412a72e6d3feedce1d16644,,55.18,91.56,55.18,67.13,138;0;0;0,time,30,-1,0,30.01,0,0,false,false,english,none,normal,false,false,false,,1678944046000
